Week_Start,Domain,Weekly_Count
2024-01-07,Core Models and Architectures,196
2024-01-07,Learning Paradigms,91
2024-01-07,Optimization Techniques,305
2024-01-07,Applications and Use Cases,170
2024-01-07,Societal Impacts and Ethics,131
2024-01-07,Infrastructure and Tools,457
2024-01-07,Evaluation and Benchmarks,437
2024-01-14,Core Models and Architectures,389
2024-01-14,Learning Paradigms,179
2024-01-14,Optimization Techniques,157
2024-01-14,Applications and Use Cases,409
2024-01-14,Societal Impacts and Ethics,288
2024-01-14,Infrastructure and Tools,362
2024-01-14,Evaluation and Benchmarks,161
2024-01-21,Core Models and Architectures,310
2024-01-21,Learning Paradigms,288
2024-01-21,Optimization Techniques,305
2024-01-21,Applications and Use Cases,470
2024-01-21,Societal Impacts and Ethics,89
2024-01-21,Infrastructure and Tools,450
2024-01-21,Evaluation and Benchmarks,198
2024-01-28,Core Models and Architectures,365
2024-01-28,Learning Paradigms,377
2024-01-28,Optimization Techniques,246
2024-01-28,Applications and Use Cases,152
2024-01-28,Societal Impacts and Ethics,326
2024-01-28,Infrastructure and Tools,231
2024-01-28,Evaluation and Benchmarks,172
2024-02-04,Core Models and Architectures,460
2024-02-04,Learning Paradigms,485
2024-02-04,Optimization Techniques,414
2024-02-04,Applications and Use Cases,244
2024-02-04,Societal Impacts and Ethics,268
2024-02-04,Infrastructure and Tools,303
2024-02-04,Evaluation and Benchmarks,169
2024-02-11,Core Models and Architectures,490
2024-02-11,Learning Paradigms,444
2024-02-11,Optimization Techniques,396
2024-02-11,Applications and Use Cases,180
2024-02-11,Societal Impacts and Ethics,477
2024-02-11,Infrastructure and Tools,201
2024-02-11,Evaluation and Benchmarks,187
2024-02-18,Core Models and Architectures,186
2024-02-18,Learning Paradigms,63
2024-02-18,Optimization Techniques,178
2024-02-18,Applications and Use Cases,361
2024-02-18,Societal Impacts and Ethics,334
2024-02-18,Infrastructure and Tools,296
2024-02-18,Evaluation and Benchmarks,241
2024-02-25,Core Models and Architectures,78
2024-02-25,Learning Paradigms,248
2024-02-25,Optimization Techniques,360
2024-02-25,Applications and Use Cases,393
2024-02-25,Societal Impacts and Ethics,157
2024-02-25,Infrastructure and Tools,267
2024-02-25,Evaluation and Benchmarks,168
2024-03-03,Core Models and Architectures,183
2024-03-03,Learning Paradigms,151
2024-03-03,Optimization Techniques,278
2024-03-03,Applications and Use Cases,223
2024-03-03,Societal Impacts and Ethics,386
2024-03-03,Infrastructure and Tools,242
2024-03-03,Evaluation and Benchmarks,253
2024-03-10,Core Models and Architectures,107
2024-03-10,Learning Paradigms,129
2024-03-10,Optimization Techniques,365
2024-03-10,Applications and Use Cases,391
2024-03-10,Societal Impacts and Ethics,328
2024-03-10,Infrastructure and Tools,148
2024-03-10,Evaluation and Benchmarks,305
2024-03-17,Core Models and Architectures,376
2024-03-17,Learning Paradigms,54
2024-03-17,Optimization Techniques,362
2024-03-17,Applications and Use Cases,423
2024-03-17,Societal Impacts and Ethics,350
2024-03-17,Infrastructure and Tools,425
2024-03-17,Evaluation and Benchmarks,243
2024-03-24,Core Models and Architectures,355
2024-03-24,Learning Paradigms,333
2024-03-24,Optimization Techniques,326
2024-03-24,Applications and Use Cases,93
2024-03-24,Societal Impacts and Ethics,156
2024-03-24,Infrastructure and Tools,268
2024-03-24,Evaluation and Benchmarks,444
2024-03-31,Core Models and Architectures,154
2024-03-31,Learning Paradigms,186
2024-03-31,Optimization Techniques,254
2024-03-31,Applications and Use Cases,258
2024-03-31,Societal Impacts and Ethics,182
2024-03-31,Infrastructure and Tools,64
2024-03-31,Evaluation and Benchmarks,480
2024-04-07,Core Models and Architectures,463
2024-04-07,Learning Paradigms,421
2024-04-07,Optimization Techniques,353
2024-04-07,Applications and Use Cases,414
2024-04-07,Societal Impacts and Ethics,413
2024-04-07,Infrastructure and Tools,262
2024-04-07,Evaluation and Benchmarks,358
2024-04-14,Core Models and Architectures,332
2024-04-14,Learning Paradigms,466
2024-04-14,Optimization Techniques,277
2024-04-14,Applications and Use Cases,382
2024-04-14,Societal Impacts and Ethics,143
2024-04-14,Infrastructure and Tools,449
2024-04-14,Evaluation and Benchmarks,333
2024-04-21,Core Models and Architectures,252
2024-04-21,Learning Paradigms,493
2024-04-21,Optimization Techniques,371
2024-04-21,Applications and Use Cases,316
2024-04-21,Societal Impacts and Ethics,90
2024-04-21,Infrastructure and Tools,259
