Human_Readable_Topic,update_date,Categories
Modal Logics and Formalization,2023-06-16,Core Models and Architectures
Modal Logics and Formalization,2023-06-16,Societal Impacts and Ethics
Federated Recommendation Systems with Personalization and Privacy,2023-03-07,Applications and Use Cases
Federated Recommendation Systems with Personalization and Privacy,2023-03-07,Societal Impacts and Ethics
Molecular and Protein Representation Learning,2023-06-22,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-22,Applications and Use Cases
Particle Detection and Classification in High Energy Physics,2023-01-23,Applications and Use Cases
Planar Graph Algorithms and Properties,2024-01-29,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-10-22,Core Models and Architectures
Knowledge Graph Completion Methods,2024-04-01,Core Models and Architectures
Knowledge Graph Completion Methods,2024-04-01,Learning Paradigms
Knowledge Graph Completion Methods,2023-12-29,Core Models and Architectures
Knowledge Graph Completion Methods,2023-12-29,Learning Paradigms
Steganography Techniques and Methods,2023-06-06,Societal Impacts and Ethics
Steganography Techniques and Methods,2023-06-06,Core Models and Architectures
Algebraic Geometry and Representation Theory,2024-03-07,Core Models and Architectures
Group Theory and Embeddings,2024-10-02,Core Models and Architectures
Algebraic Geometry and Representation Theory,2023-06-09,Core Models and Architectures
Fractional Sobolev Embeddings,2024-05-16,Core Models and Architectures
Humor Detection and Generation,2024-03-20,Applications and Use Cases
Algebraic Geometry and Representation Theory,2023-07-18,Core Models and Architectures
Network Embeddings and Community Detection,2023-01-06,Core Models and Architectures
Network Embeddings and Community Detection,2023-01-06,Applications and Use Cases
Group Theory and Embeddings,2023-07-06,Core Models and Architectures
Sarcasm Detection in Natural Language Processing,2024-09-05,Applications and Use Cases
Sarcasm Detection in Natural Language Processing,2024-09-05,Evaluation and Benchmarks
Manifold Learning and Dimensionality Reduction,2024-02-01,Core Models and Architectures
Fractional Sobolev Embeddings,2023-05-01,Core Models and Architectures
Hypergraph and Graph Neural Networks,2024-06-19,Core Models and Architectures
Planar Graph Algorithms and Properties,2024-09-20,Core Models and Architectures
